ridership_route_code,current_garage,year_month,day_type,on_time_percent,avg_riders,day_count,daily_trip_dist,daily_trip_count,year,month,current_garage_code,day_type_code
P7,West Mifflin,201701,WEEKDAY,0.6532,701,22,488.504,29,2017,01,4,2
P71,East Liberty,201701,WEEKDAY,0.6476,623,22,258.697,27,2017,01,1,2
P76,West Mifflin,201701,WEEKDAY,0.5887,1041,22,536.135,34,2017,01,4,2
P78,East Liberty,201701,WEEKDAY,0.5695,906,22,563.92,36,2017,01,1,2
Y1,West Mifflin,201701,WEEKDAY,0.7423,719,22,274.618,29,2017,01,4,2
Y45,West Mifflin,201701,WEEKDAY,0.7803,266,22,162.459,20,2017,01,4,2
Y46,West Mifflin,201701,WEEKDAY,0.7064,1654,22,1248.417,66,2017,01,4,2
Y46,West Mifflin,201701,SAT.,0.8577,758,4,664.777,34,2017,01,4,0
Y46,West Mifflin,201701,SUN.,0.7098,519,5,624.865,32,2017,01,4,1
Y47,West Mifflin,201701,WEEKDAY,0.7142,985,22,629.119,46,2017,01,4,2
Y47,West Mifflin,201701,SAT.,0.7213,385,4,437.648,32,2017,01,4,0
Y49,West Mifflin,201701,WEEKDAY,0.7308,1183,22,649.848,48,2017,01,4,2
Y49,West Mifflin,201701,SAT.,0.7438,572,4,433.232,32,2017,01,4,0
Y49,West Mifflin,201701,SUN.,0.7216,310,5,297.847,22,2017,01,4,1
001,Ross,201702,WEEKDAY,0.6764,1638,20,1158.621,47,2017,02,3,2
001,Ross,201702,SAT.,0.6311,1239,4,739.695,30,2017,02,3,0
001,Ross,201702,SUN.,0.645,884,4,641.069,26,2017,02,3,1
002,Ross,201702,WEEKDAY,0.5968,1038,20,1006.109,54,2017,02,3,2
004,Ross,201702,WEEKDAY,0.733,702,20,283.652,46,2017,02,3,2
004,Ross,201702,SAT.,0.6642,278,4,198.913,26,2017,02,3,0
006,Ross,201702,WEEKDAY,0.7829,1241,20,316.359,63,2017,02,3,2
006,Ross,201702,SAT.,0.7395,559,4,160.656,32,2017,02,3,0
006,Ross,201702,SUN.,0.797,506,4,160.656,32,2017,02,3,1
007,Ross,201702,WEEKDAY,0.6736,136,20,67.482,12,2017,02,3,2
008,Ross,201702,WEEKDAY,0.7143,3380,20,1141.792,142,2017,02,3,2
008,Ross,201702,SAT.,0.6653,1750,4,580.592,72,2017,02,3,0
008,Ross,201702,SUN.,0.7514,1013,4,370.096,46,2017,02,3,1
011,Ross,201702,WEEKDAY,0.7334,534,20,194.6,50,2017,02,3,2
011,Ross,201702,SAT.,0.7249,229,4,101.192,26,2017,02,3,0
011,Ross,201702,SUN.,0.7154,139,4,70.056,18,2017,02,3,1
012,Ross,201702,WEEKDAY,0.6923,935,20,649.424,38,2017,02,3,2
012,Ross,201702,SAT.,0.5711,1242,4,819.128,48,2017,02,3,0
012,Ross,201702,SUN.,0.6861,724,4,677.355,39,2017,02,3,1
013,Ross,201702,WEEKDAY,0.6896,2153,20,836.58,86,2017,02,3,2
013,Ross,201702,SAT.,0.711,1474,4,718.95,74,2017,02,3,0
013,Ross,201702,SUN.,0.7494,838,4,409.04,42,2017,02,3,1
014,Ross,201702,WEEKDAY,0.697,1233,20,1315.064,79,2017,02,3,2
014,Ross,201702,SAT.,0.7755,586,4,566.083,34,2017,02,3,0
014,Ross,201702,SUN.,0.8018,345,4,499.485,30,2017,02,3,1
